1,1,1,10
2,1,1,12.5
4,12,12,100
5,12,12,153.75
18,18,18,270
0,1,1,Each salesman sells at least one complete machine per month
1,40,45,650
3,38,50,693
35,39,46,823
69,41,44,987
70,42,43,989
35,1,45,586
34,2,44,578
36,79,46,1068
37,80,47,1088
35,40,1,424
34,41,2,434
36,42,89,1233
37,38,90,1223
35,0,45,Each salesman sells at least one complete machine per month
35,40,0,Each salesman sells at least one complete machine per month
71,40,45,Main unit sales exceeded the limit
35,81,45,Screen sales exceeded the limit
35,40,91,Perpheral sales exceeded the limit
